,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1230065573,0.0,5,3,-37.791144,144.9368632,-37.8166388,144.98391940000002,6071.0,2018-04-26,03:52:39,1561.6200000000006,4:18:40,12.69
ID5378866382,2.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-02-14,09:08:55,13173.36,12:48:28,1270.14
ID1828891304,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-15,09:08:06,12681.060000000005,12:39:27,29.69
ID3582143121,1.0,1,7,-37.8048558,144.95130580000003,-37.8618349,144.90571599999998,9683.0,2018-01-18,02:01:59,3230.7,2:55:49,29.9
ID1910955635,0.0,1,4,-37.8095143,144.9638631,-37.80386970000001,144.9974622,3474.0,2018-06-17,20:18:38,934.62,20:34:12,12.38
ID3854659937,1.0,4,3,-37.8087984,145.00884680000001,-37.824675799999994,144.9890462,3321.0,2018-03-09,14:47:13,813.7200000000003,15:00:46,14.55
ID1277299244,0.0,5,7,-37.8142946,144.9328163,-37.8618349,144.90571599999998,11190.0,2018-03-11,15:22:20,3671.64,16:23:31,17.29
ID1902331991,0.0,3,7,-37.815987799999995,144.98306430000002,-37.8618349,144.90571599999998,9179.0,2018-06-25,09:59:02,3054.42,10:49:56,8.61
ID5259887194,2.0,7,3,-37.8618349,144.90571599999998,-37.8110185,145.000558,11050.0,2018-05-17,22:08:33,3585.179999999998,23:08:18,372.01
ID1718663357,0.0,4,8,-37.81081079999999,145.01115149999998,-37.8158343,145.04645,4057.0,2018-01-26,08:35:16,1287.96,8:56:43,5.1
ID1783381281,0.0,3,5,-37.8130824,144.9927179,-37.808865399999995,144.9291692,6240.0,2018-02-03,18:33:52,1556.28,18:59:48,14.09
ID1381586917,0.0,7,4,-37.8618349,144.90571599999998,-37.8144826,144.9998993,10913.0,2018-03-17,05:22:48,3485.28,6:20:53,20.37
ID3513279342,1.0,4,6,-37.8114152,145.0050906,-37.7874325,144.9803767,4737.0,2018-04-03,14:27:13,1225.6800000000005,14:47:38,16.62
ID1491321476,0.0,9,2,-38.1109156,144.65417250000002,-37.8124141,144.9385708,43124.0,2018-05-22,04:24:35,10327.739999999994,7:16:42,28.16
ID1792616610,0.0,1,3,-37.8103246,144.9765188,-37.8246942,144.98897309999998,2260.0,2018-04-25,20:26:17,617.1600000000002,20:36:34,5.82
ID5452054237,2.0,1,3,-37.815423100000004,144.93954019999998,-37.8137172,144.98865590000003,5071.0,2018-06-09,19:55:03,1286.76,20:16:29,150.54
ID1427963976,0.0,6,1,-37.773845,144.9836895,-37.8069395,144.95787880000003,5239.0,2018-06-14,08:44:25,1102.4399999999996,9:02:47,4.75
ID1284485385,0.0,1,9,-37.809764799999996,144.97825769999997,-38.1109156,144.65417250000002,44881.0,2018-05-11,19:42:55,10753.74,22:42:08,24.74
ID1578367434,0.0,6,1,-37.7738026,144.98364660000001,-37.8253619,144.95697769999998,9727.0,2018-05-10,11:14:48,2968.739999999998,12:04:16,9.45
ID3407165582,1.0,1,9,-37.8174616,144.9527164,-38.1109156,144.65417250000002,42317.0,2018-03-12,05:45:16,10172.22,8:34:48,60.28
ID3459790985,1.0,5,8,-37.8105489,144.93584840000003,-37.8158343,145.04645,10146.0,2018-07-26,02:07:29,2847.36,2:54:56,28.23
ID3162975609,1.0,5,7,-37.80006289999999,144.9321884,-37.8618349,144.90571599999998,11502.0,2018-07-23,15:11:17,3659.1,16:12:16,28.71
ID1921277194,0.0,1,4,-37.8030545,144.94913390000002,-37.8120407,145.01466299999998,5944.0,2018-04-16,04:48:12,1387.38,5:11:19,12.92
ID3453597889,1.0,6,1,-37.773845,144.9836895,-37.808330700000006,144.9409115,7200.0,2018-01-14,05:11:20,1536.9599999999994,5:36:56,26.78
ID1532271260,0.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-07-07,04:35:06,4911.5999999999985,5:56:57,22.21
ID1529173933,0.0,5,7,-37.814625799999995,144.9281072,-37.8618349,144.90571599999998,12005.0,2018-04-26,19:35:27,3828.780000000001,20:39:15,11.59
ID1194806175,0.0,7,5,-37.8618349,144.90571599999998,-37.8051789,144.9372875,10723.0,2018-01-23,07:58:06,3486.839999999999,8:56:12,8.64
ID3180934355,1.0,4,5,-37.799750700000004,144.9943718,-37.799722499999994,144.93749540000002,7128.0,2018-01-27,02:27:12,2025.1200000000006,3:00:57,28.64
ID1263193776,0.0,3,6,-37.8289044,144.9866979,-37.7874421,144.9804091,5672.0,2018-04-23,15:43:12,1395.7200000000007,16:06:27,7.72
ID5765639895,2.0,1,7,-37.816213399999995,144.963933,-37.8618349,144.90571599999998,7789.0,2018-03-03,23:13:12,2718.3,23:58:30,296.65
ID3581749939,1.0,6,3,-37.7907967,144.985865,-37.8217484,144.9680858,4483.0,2018-01-02,07:55:42,1308.3600000000008,8:17:30,12.49
ID1351034561,0.0,1,4,-37.8025394,144.9632757,-37.8131128,145.0112186,5026.0,2018-07-09,07:20:21,1268.9399999999996,7:41:29,5.6
ID1181663137,0.0,4,5,-37.8009482,144.9887123,-37.814973200000004,144.9273875,7344.0,2018-02-16,07:29:00,1850.460000000002,7:59:50,6.07
ID1306742169,0.0,6,1,-37.7907967,144.985865,-37.803033299999996,144.946302,4891.0,2018-03-24,21:24:52,1344.4199999999996,21:47:16,18.47
ID1537353562,0.0,8,6,-37.8158343,145.04645,-37.7874421,144.9804091,8357.0,2018-01-15,07:20:12,2437.38,8:00:49,7.46
ID5131692702,2.0,6,3,-37.773845,144.9836895,-37.824146,144.9835879,6584.0,2018-06-02,19:31:26,1466.0400000000009,19:55:52,168.66
ID5303671189,2.0,1,7,-37.8191333,144.96144219999996,-37.8618349,144.90571599999998,7686.0,2018-02-09,21:36:48,2702.1,22:21:50,290.25
ID3312884380,1.0,5,1,-37.8001131,144.93530959999998,-37.8051431,144.95739509999999,5928.0,2018-01-08,17:11:59,1476.599999999999,17:36:35,16.68
ID3162683256,1.0,8,3,-37.807202000000004,145.0266373,-37.8196969,144.97441750000002,6246.0,2018-03-08,23:34:21,1567.9199999999994,0:00:28,23.14
ID5282632409,2.0,6,2,-37.7738026,144.98364660000001,-37.8259525,144.9526352,10227.0,2018-07-17,05:04:32,3119.699999999998,5:56:31,327.61
ID1626430155,0.0,2,1,-37.8141865,144.94455459999998,-37.809481299999995,144.96378269999997,1881.0,2018-07-09,03:42:49,502.20000000000016,3:51:11,9.72
ID3799119535,1.0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-07-10,02:13:22,11530.62,5:25:32,61.41
ID3376181208,1.0,3,2,-37.8122321,144.9898339,-37.8141181,144.9413845,4779.0,2018-07-02,20:56:58,1173.0600000000004,21:16:31,15.5
ID3150020461,1.0,4,9,-37.806301899999994,144.9973646,-38.1109156,144.65417250000002,47134.0,2018-07-07,08:48:59,11369.82,11:58:28,62.25
ID3800777222,1.0,5,2,-37.7915638,144.9317598,-37.8206378,144.9413875,6167.0,2018-01-02,02:52:16,1448.0400000000006,3:16:24,21.59
ID5258119982,2.0,2,6,-37.8209365,144.9337138,-37.7908183,144.9857929,7093.0,2018-06-27,15:20:55,1814.4000000000005,15:51:09,194.95
ID1547977720,0.0,2,3,-37.8178482,144.9464236,-37.820614500000005,144.9772668,3418.0,2018-01-18,02:40:57,827.5200000000003,2:54:44,13.14
ID3756969429,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-05-06,08:41:41,4911.5999999999985,10:03:32,30.45
ID1781910624,0.0,3,5,-37.8125528,144.9857904,-37.807913299999996,144.9316332,5503.0,2018-05-25,03:47:26,1340.9399999999996,4:09:46,10.28
ID1390524612,0.0,8,6,-37.807202000000004,145.0266373,-37.7908183,144.9857929,4835.0,2018-03-03,04:04:01,1248.9600000000005,4:24:49,17.72
ID1528218704,0.0,1,9,-37.8187755,144.9701918,-38.1109156,144.65417250000002,44055.0,2018-07-08,10:44:55,10609.919999999998,13:41:44,25.84
ID1801148851,0.0,4,6,-37.811242799999995,145.0035322,-37.7908183,144.9857929,3866.0,2018-04-28,12:37:45,975.36,12:54:00,9.13
ID3233001747,1.0,4,8,-37.807629799999994,145.00766389999998,-37.807202000000004,145.0266373,2522.0,2018-06-08,20:14:30,600.0600000000002,20:24:30,13.28
ID3296917379,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-02-21,21:09:24,13204.979999999996,0:49:28,68.12
ID5536293169,2.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-01-24,16:13:29,4917.479999999999,17:35:26,501.7
ID3867423769,1.0,5,7,-37.8046039,144.9102956,-37.8618349,144.90571599999998,12885.0,2018-05-10,09:36:28,4019.5200000000013,10:43:27,26.89
ID1159373354,0.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-06-25,21:17:52,13173.36,0:57:25,29.21
ID1351580083,0.0,3,9,-37.81319129999999,144.9902056,-38.1109156,144.65417250000002,46082.0,2018-03-10,22:17:33,11080.86,1:22:13,34.16
ID3309872239,1.0,9,4,-38.1109156,144.65417250000002,-37.801905,145.00343569999998,47795.0,2018-06-18,17:36:24,11607.660000000005,20:49:51,63.24
ID3916942078,1.0,8,2,-37.8158343,145.04645,-37.822457299999996,144.9478483,9255.0,2018-03-24,11:44:01,2694.7799999999984,12:28:55,21.43
ID3675510443,1.0,9,4,-38.1109156,144.65417250000002,-37.812420200000005,145.01503119999998,48265.0,2018-02-18,20:51:40,11700.54000000001,0:06:40,68.1
ID3151738208,1.0,2,1,-37.8153797,144.92251059999998,-37.821289799999995,144.9644173,5165.0,2018-06-24,15:48:05,1410.9000000000012,16:11:35,22.43
ID5546998616,2.0,2,7,-37.8118628,144.9383351,-37.8618349,144.90571599999998,10294.0,2018-01-13,13:59:08,3369.0600000000004,14:55:17,348.87
ID3990706040,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-03-07,08:58:21,13204.979999999996,12:38:25,66.21
ID5114640093,2.0,9,1,-38.1109156,144.65417250000002,-37.804390000000005,144.9487149,43521.0,2018-06-01,19:33:45,10457.039999999997,22:28:02,1035.92
ID1386706194,0.0,2,3,-37.8210441,144.94726459999998,-37.824998,144.99804,5010.0,2018-04-28,01:38:13,1240.14,1:58:53,18.79
ID1305977196,0.0,6,1,-37.7874325,144.9803767,-37.8057963,144.9646323,3124.0,2018-02-17,13:31:01,799.86,13:44:20,12.87
ID3152839196,1.0,8,1,-37.8158343,145.04645,-37.811510299999995,144.9646963,7421.0,2018-05-16,07:17:20,2162.340000000001,7:53:22,13.41
ID3391520199,1.0,7,5,-37.8618349,144.90571599999998,-37.8167361,144.92739519999998,11421.0,2018-03-17,21:04:00,3690.9599999999987,22:05:30,31.5
ID5124754576,2.0,3,9,-37.815304499999996,144.98582199999998,-38.1109156,144.65417250000002,45514.0,2018-03-05,06:26:27,10891.02,9:27:58,1054.44
ID5341174480,2.0,2,3,-37.8231612,144.95174640000002,-37.8110847,144.9926428,4145.0,2018-04-09,08:08:44,1144.5000000000002,8:27:48,122.75
ID5536219812,2.0,2,4,-37.81754829999999,144.9465439,-37.8160204,145.0111408,6417.0,2018-02-08,14:25:42,1652.2200000000007,14:53:14,177.29
ID1652168818,0.0,2,6,-37.808746299999996,144.92591409999997,-37.7908183,144.9857929,7094.0,2018-04-03,13:20:38,1865.52,13:51:43,7.69
ID3785289380,1.0,4,3,-37.80424489999999,145.0143051,-37.8111528,144.9975025,2372.0,2018-01-03,15:38:52,601.0800000000003,15:48:53,13.3
ID1359781139,0.0,6,3,-37.7908183,144.9857929,-37.8208441,144.98838600000002,3724.0,2018-01-17,18:54:21,918.4799999999997,19:09:39,8.89
ID3986071937,1.0,2,5,-37.8151363,144.94719519999998,-37.8050904,144.930054,2264.0,2018-01-27,16:59:19,601.5,17:09:20,16.31
ID5928428362,2.0,5,6,-37.798835600000004,144.9358024,-37.7907967,144.985865,5710.0,2018-06-12,19:51:00,1601.4,20:17:41,175.09
ID3980406621,1.0,5,9,-37.8132674,144.933444,-38.1109156,144.65417250000002,43712.0,2018-03-26,10:55:05,10498.679999999997,13:50:03,45.36
ID3313049608,1.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-03-24,14:52:47,13173.36,18:32:20,61.98
ID3299024969,1.0,4,1,-37.81489379999999,145.01428049999998,-37.8102793,144.97287769999997,4496.0,2018-06-06,16:30:10,1145.2800000000007,16:49:15,15.4
ID3895397857,1.0,3,6,-37.8220691,144.969616,-37.7874325,144.9803767,4405.0,2018-03-22,02:50:52,1113.84,3:09:25,21.29
ID5973667170,2.0,3,2,-37.8241513,144.98365090000001,-37.8161206,144.9287575,6482.0,2018-04-15,16:13:54,1403.5800000000006,16:37:17,161.2
ID1214078404,0.0,8,2,-37.807202000000004,145.0266373,-37.823628799999994,144.9431858,8835.0,2018-07-11,03:17:35,2268.360000000001,3:55:23,12.1
ID1259740137,0.0,2,4,-37.812974600000004,144.9350314,-37.8101994,145.01619480000002,8327.0,2018-03-18,18:25:21,2061.54,18:59:42,16.21
ID5762419849,2.0,7,5,-37.8618349,144.90571599999998,-37.804305299999996,144.92901030000002,11327.0,2018-03-11,04:30:05,3675.5399999999986,5:31:20,388.18
ID1443088875,0.0,9,3,-38.1109156,144.65417250000002,-37.8158579,144.98237680000003,45203.0,2018-05-18,16:48:37,10960.679999999997,19:51:17,25.57
ID5966797596,2.0,3,4,-37.8189685,144.98499840000002,-37.8033282,144.994517,2286.0,2018-07-09,23:50:23,630.6600000000002,0:00:53,90.55
ID1810469062,0.0,9,3,-38.1109156,144.65417250000002,-37.8263028,144.9798403,45322.0,2018-02-23,04:47:25,10936.499999999996,7:49:41,29.05
ID3498612653,1.0,2,1,-37.8244158,144.94448219999998,-37.8043054,144.9420045,2927.0,2018-01-12,11:15:48,696.4200000000003,11:27:24,9.07
ID1786454065,0.0,2,5,-37.8240968,144.9307186,-37.7882653,144.92920180000002,4205.0,2018-04-24,12:46:34,948.12,13:02:22,7.89
ID5363481288,2.0,8,4,-37.807202000000004,145.0266373,-37.8135406,145.0103946,2518.0,2018-05-05,21:42:20,596.1600000000002,21:52:16,85.61
ID1706535651,0.0,1,4,-37.8128747,144.9724734,-37.815324200000006,145.0075979,3588.0,2018-05-15,13:40:27,914.5800000000003,13:55:41,7.88
ID3975458174,1.0,8,2,-37.8158343,145.04645,-37.8204843,144.9493105,9151.0,2018-02-01,16:26:04,2644.32,17:10:08,23.35
ID1884028503,0.0,8,2,-37.8158343,145.04645,-37.8166589,144.93749330000003,10036.0,2018-02-27,17:07:08,2859.959999999997,17:54:47,11.72
ID1637223772,0.0,5,6,-37.8001131,144.93530959999998,-37.7874421,144.9804091,6925.0,2018-01-15,15:53:50,1731.3,16:22:41,10.11
ID3329240202,1.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-07-09,00:53:50,13173.36,4:33:23,76.14
ID3450555629,1.0,1,9,-37.8033312,144.9555054,-38.1109156,144.65417250000002,43828.0,2018-03-26,16:44:03,10610.1,19:40:53,57.0
